id;name;id;insert into internal_products (odoo_id,product_id);insert into products (id,description)
__export__.product_template_24611_154affff;Apple Watch SE 3 (2025) GPS 44mm Midnight Aluminium Case with Sport Band M/L Midnight;33;"('__export__.product_template_24611_154affff',33);";"(33,'Apple Watch SE 3 (2025) GPS 44mm Midnight Aluminium Case with Sport Band M/L Midnight');"
__export__.product_template_24612_9c338edb;Apple Watch SE 3 (2025) GPS 44mm Starlight Aluminium Case with Sport Band S/M Starlight;34;"('__export__.product_template_24612_9c338edb',34);";"(34,'Apple Watch SE 3 (2025) GPS 44mm Starlight Aluminium Case with Sport Band S/M Starlight');"
__export__.product_template_24613_05f5a49b;Apple Watch SE2 (2024) GPS 40mm Midnight Aluminium Case with Sport Band S/M Midnight;35;"('__export__.product_template_24613_05f5a49b',35);";"(35,'Apple Watch SE2 (2024) GPS 40mm Midnight Aluminium Case with Sport Band S/M Midnight');"
__export__.product_template_24614_37da2b17;Apple Watch SE2 (2024) GPS 40mm Midnight Aluminium Case with Sport Loop Midnight;36;"('__export__.product_template_24614_37da2b17',36);";"(36,'Apple Watch SE2 (2024) GPS 40mm Midnight Aluminium Case with Sport Loop Midnight');"
__export__.product_template_24615_1cba1a56;Apple Watch SE2 (2024) GPS 40mm Silver Aluminium Case with Sport Band M/L Denim;37;"('__export__.product_template_24615_1cba1a56',37);";"(37,'Apple Watch SE2 (2024) GPS 40mm Silver Aluminium Case with Sport Band M/L Denim');"
__export__.product_template_24616_1f39890b;Apple Watch SE2 (2024) GPS 40mm Starlight Aluminium Case with Sport Band S/M Starlight;38;"('__export__.product_template_24616_1f39890b',38);";"(38,'Apple Watch SE2 (2024) GPS 40mm Starlight Aluminium Case with Sport Band S/M Starlight');"
__export__.product_template_24617_2522fcf9;Apple Watch SE2 (2024) GPS 44mm Midnight Aluminium Case with Sport Band M/L Midnight;39;"('__export__.product_template_24617_2522fcf9',39);";"(39,'Apple Watch SE2 (2024) GPS 44mm Midnight Aluminium Case with Sport Band M/L Midnight');"
__export__.product_template_24618_de5f8f7e;Apple Watch SE2 (2024) GPS 44mm Midnight Aluminium Case with Sport Band S/M Midnight;40;"('__export__.product_template_24618_de5f8f7e',40);";"(40,'Apple Watch SE2 (2024) GPS 44mm Midnight Aluminium Case with Sport Band S/M Midnight');"
__export__.product_template_24619_7c907d13;Apple Watch SE2 (2024) GPS 44mm Silver Aluminium Case with Sport Band M/L Denim;41;"('__export__.product_template_24619_7c907d13',41);";"(41,'Apple Watch SE2 (2024) GPS 44mm Silver Aluminium Case with Sport Band M/L Denim');"
__export__.product_template_24620_7ce2d7eb;Apple Watch SE2 (2024) GPS 44mm Starlight Aluminium Case with Sport Band M/L Starlight;42;"('__export__.product_template_24620_7ce2d7eb',42);";"(42,'Apple Watch SE2 (2024) GPS 44mm Starlight Aluminium Case with Sport Band M/L Starlight');"
__export__.product_template_24621_8c91b4ee;Apple Watch Series 10 GPS 42mm Jet Black Aluminium Case with Sport Band M/L Black;43;"('__export__.product_template_24621_8c91b4ee',43);";"(43,'Apple Watch Series 10 GPS 42mm Jet Black Aluminium Case with Sport Band M/L Black');"
__export__.product_template_24622_252d86ad;Apple Watch Series 10 GPS 42mm Jet Black Aluminium Case with Sport Band S/M Black;44;"('__export__.product_template_24622_252d86ad',44);";"(44,'Apple Watch Series 10 GPS 42mm Jet Black Aluminium Case with Sport Band S/M Black');"
__export__.product_template_24623_bf602c80;Apple Watch Series 10 GPS 42mm Jet Black Aluminium Case with Sport Loop Black;45;"('__export__.product_template_24623_bf602c80',45);";"(45,'Apple Watch Series 10 GPS 42mm Jet Black Aluminium Case with Sport Loop Black');"
__export__.product_template_24624_ec44c295;Apple Watch Series 10 GPS 42mm Silver Aluminium Case with Sport Band M/L Denim;46;"('__export__.product_template_24624_ec44c295',46);";"(46,'Apple Watch Series 10 GPS 42mm Silver Aluminium Case with Sport Band M/L Denim');"
__export__.product_template_24625_273a2f96;Apple Watch Series 10 GPS 42mm Silver Aluminium Case with Sport Band S/M Denim;47;"('__export__.product_template_24625_273a2f96',47);";"(47,'Apple Watch Series 10 GPS 42mm Silver Aluminium Case with Sport Band S/M Denim');"
__export__.product_template_24626_e33c65ec;Apple Watch Series 10 GPS 42mm Silver Aluminium Case with Sport Loop Blue Cloud;48;"('__export__.product_template_24626_e33c65ec',48);";"(48,'Apple Watch Series 10 GPS 42mm Silver Aluminium Case with Sport Loop Blue Cloud');"
__export__.product_template_24627_f08c9fbc;Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case with Sport Band M/L Black;49;"('__export__.product_template_24627_f08c9fbc',49);";"(49,'Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case with Sport Band M/L Black');"
__export__.product_template_24628_167192e3;Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case with Sport Band S/M Black;50;"('__export__.product_template_24628_167192e3',50);";"(50,'Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case with Sport Band S/M Black');"
