id;name;id;insert into internal_products (odoo_id,product_id);insert into products (id,description)
__export__.product_template_23169_ad06d9fb;Apple iPhone SE3 5G (2022) 64GB Midnight;275;"('__export__.product_template_23169_ad06d9fb',275);";"(275,'Apple iPhone SE3 5G (2022) 64GB Midnight');"
__export__.product_template_23942_098499be;Apple iPhone SE3 5G (2022) 64GB Midnight US Spec;276;"('__export__.product_template_23942_098499be',276);";"(276,'Apple iPhone SE3 5G (2022) 64GB Midnight US Spec');"
__export__.product_template_23170_4aef7de4;Apple iPhone SE3 5G (2022) 64GB Red;277;"('__export__.product_template_23170_4aef7de4',277);";"(277,'Apple iPhone SE3 5G (2022) 64GB Red');"
__export__.product_template_24050_663cb566;Apple iPhone SE3 5G (2022) 64GB Red US Spec;278;"('__export__.product_template_24050_663cb566',278);";"(278,'Apple iPhone SE3 5G (2022) 64GB Red US Spec');"
__export__.product_template_23171_3f9c8360;Apple iPhone SE3 5G (2022) 64GB Starlight;279;"('__export__.product_template_23171_3f9c8360',279);";"(279,'Apple iPhone SE3 5G (2022) 64GB Starlight');"
__export__.product_template_24051_2da283ca;Apple iPhone SE3 5G (2022) 64GB Starlight US Spec;280;"('__export__.product_template_24051_2da283ca',280);";"(280,'Apple iPhone SE3 5G (2022) 64GB Starlight US Spec');"
__export__.product_template_22403_98a99d52;Apple écouteurs EarPods USB C - MYQY3ZM/A;281;"('__export__.product_template_22403_98a99d52',281);";"(281,'Apple écouteurs EarPods USB C - MYQY3ZM/A');"
__export__.product_template_24153_24b0a370;CARTE MEMOIRE IMRO microSD 128GO avec adaptateur SD - CLASSE 10 UHS;282;"('__export__.product_template_24153_24b0a370',282);";"(282,'CARTE MEMOIRE IMRO microSD 128GO avec adaptateur SD - CLASSE 10 UHS');"
__export__.product_template_23019_b347a15f;CLEAR CASE 1,5 mm GRID for SAMSUNG A54  5G transparent;283;"('__export__.product_template_23019_b347a15f',283);";"(283,'CLEAR CASE 1,5 mm GRID for SAMSUNG A54  5G transparent');"
__export__.product_template_23209_028ad5dd;CLEAR CASE 2mm IPhone 11 transparent;284;"('__export__.product_template_23209_028ad5dd',284);";"(284,'CLEAR CASE 2mm IPhone 11 transparent');"
__export__.product_template_23210_2c22e538;CLEAR CASE 2mm IPhone 12 / 12 Pro Transparent ;285;"('__export__.product_template_23210_2c22e538',285);";"(285,'CLEAR CASE 2mm IPhone 12 / 12 Pro Transparent ');"
__export__.product_template_23211_348e1fb2;CLEAR CASE 2mm IPhone 13 Pro Max Transparent;286;"('__export__.product_template_23211_348e1fb2',286);";"(286,'CLEAR CASE 2mm IPhone 13 Pro Max Transparent');"
__export__.product_template_23212_943b288a;CLEAR CASE 2mm IPhone 13 Transparent;287;"('__export__.product_template_23212_943b288a',287);";"(287,'CLEAR CASE 2mm IPhone 13 Transparent');"
__export__.product_template_23214_540f8c1f;CLEAR CASE 2mm IPhone 14 Pro Max Transparent;288;"('__export__.product_template_23214_540f8c1f',288);";"(288,'CLEAR CASE 2mm IPhone 14 Pro Max Transparent');"
__export__.product_template_23213_afc4000f;CLEAR CASE 2mm IPhone 14 Transparent;289;"('__export__.product_template_23213_afc4000f',289);";"(289,'CLEAR CASE 2mm IPhone 14 Transparent');"
__export__.product_template_23215_5eec5506;CLEAR CASE 2mm IPhone 15 Pro Max Transparent;290;"('__export__.product_template_23215_5eec5506',290);";"(290,'CLEAR CASE 2mm IPhone 15 Pro Max Transparent');"
__export__.product_template_23216_e8a4110e;CLEAR CASE 2mm IPhone 15 Pro Transparent;291;"('__export__.product_template_23216_e8a4110e',291);";"(291,'CLEAR CASE 2mm IPhone 15 Pro Transparent');"
__export__.product_template_23217_d5e0b4c8;CLEAR CASE 2mm IPhone 15 Transparent;292;"('__export__.product_template_23217_d5e0b4c8',292);";"(292,'CLEAR CASE 2mm IPhone 15 Transparent');"
__export__.product_template_23219_25d818dd;CLEAR CASE 2mm IPhone 16 Pro Transparent;293;"('__export__.product_template_23219_25d818dd',293);";"(293,'CLEAR CASE 2mm IPhone 16 Pro Transparent');"
__export__.product_template_23218_cab57834;CLEAR CASE 2mm IPhone 16 Transparent;294;"('__export__.product_template_23218_cab57834',294);";"(294,'CLEAR CASE 2mm IPhone 16 Transparent');"
__export__.product_template_22408_023f3fe3;Chargeur Type-C 3A 20W Black fonction Power Delivery et Quick Charge 4.0 BlueStar;295;"('__export__.product_template_22408_023f3fe3',295);";"(295,'Chargeur Type-C 3A 20W Black fonction Power Delivery et Quick Charge 4.0 BlueStar');"
__export__.product_template_23222_9499d0ae;Chargeur USB A 2A + Câble USB A/Micro-USB Black 1m BlueStar;296;"('__export__.product_template_23222_9499d0ae',296);";"(296,'Chargeur USB A 2A + Câble USB A/Micro-USB Black 1m BlueStar');"
__export__.product_template_23370_765a0681;Clavier Sans Fil Bluetooth – AZERTY avec étui support Black ;297;"('__export__.product_template_23370_765a0681',297);";"(297,'Clavier Sans Fil Bluetooth – AZERTY avec étui support Black ');"
__export__.product_template_17480_3747cbbe;Coque Cristal Ipad 10.2 2019/2020/2021;298;"('__export__.product_template_17480_3747cbbe',298);";"(298,'Coque Cristal Ipad 10.2 2019/2020/2021');"
__export__.product_template_24732_33a8264c;Coque Samsung Galaxy A17 4G/5G + 2 Verre Trempé, Anti-Jaune Antichoc Anti-Rayures, Transparent;299;"('__export__.product_template_24732_33a8264c',299);";"(299,'Coque Samsung Galaxy A17 4G/5G + 2 Verre Trempé, Anti-Jaune Antichoc Anti-Rayures, Transparent');"
__export__.product_template_17483_5db47861;Coque TPU MATT Black pour Redmi 9A / 9AT;300;"('__export__.product_template_17483_5db47861',300);";"(300,'Coque TPU MATT Black pour Redmi 9A / 9AT');"
__export__.product_template_17482_fdf08e1d;Coque TPU Transparent Slim pour Redmi 9A / 9AT;301;"('__export__.product_template_17482_fdf08e1d',301);";"(301,'Coque TPU Transparent Slim pour Redmi 9A / 9AT');"
__export__.product_template_17481_ffbbdc82;Coque TPU Transparent Ultra Slim pour Redmi 9A / 9AT;302;"('__export__.product_template_17481_ffbbdc82',302);";"(302,'Coque TPU Transparent Ultra Slim pour Redmi 9A / 9AT');"
__export__.product_template_23834_e9615237;Coque TPU Transparent pour Samsung A057 A05s;303;"('__export__.product_template_23834_e9615237',303);";"(303,'Coque TPU Transparent pour Samsung A057 A05s');"
__export__.product_template_19551_dfec9798;Coque TPU pour TCL 501;304;"('__export__.product_template_19551_dfec9798',304);";"(304,'Coque TPU pour TCL 501');"
__export__.product_template_17487_b67a0f1b;Coque arrière + rabat Black pour Ipad 10.2;305;"('__export__.product_template_17487_b67a0f1b',305);";"(305,'Coque arrière + rabat Black pour Ipad 10.2');"
__export__.product_template_17488_c9068a93;Coque arrière + rabat Navy pour Ipad 10.2 ;306;"('__export__.product_template_17488_c9068a93',306);";"(306,'Coque arrière + rabat Navy pour Ipad 10.2 ');"
__export__.product_template_23225_aa3fcda4;Câble Type C/Type C 3A 60W Black 1m BlueStar;307;"('__export__.product_template_23225_aa3fcda4',307);";"(307,'Câble Type C/Type C 3A 60W Black 1m BlueStar');"
__export__.product_template_23221_ef818025;Câble Type C/Type C 3A 60W Black 2m BlueStar;308;"('__export__.product_template_23221_ef818025',308);";"(308,'Câble Type C/Type C 3A 60W Black 2m BlueStar');"
__export__.product_template_23224_e41ae0b7;Câble pour iPhone Type C/Lightning 2.4A 27w Blanc 1m BlueStar;309;"('__export__.product_template_23224_e41ae0b7',309);";"(309,'Câble pour iPhone Type C/Lightning 2.4A 27w Blanc 1m BlueStar');"
__export__.product_template_23220_efa1baa5;Câble pour iPhone Type C/Lightning 8-pin Power Delivery PD18W 2A C973 blanc 2m;310;"('__export__.product_template_23220_efa1baa5',310);";"(310,'Câble pour iPhone Type C/Lightning 8-pin Power Delivery PD18W 2A C973 blanc 2m');"
__export__.product_template_23223_e24a7c28;Câble pour iPhone USB A/Lightning 2.4A Blanc 1m BlueStar;311;"('__export__.product_template_23223_e24a7c28',311);";"(311,'Câble pour iPhone USB A/Lightning 2.4A Blanc 1m BlueStar');"
__export__.product_template_24151_5a593ec0;FORCELL F-DESIGN L8X36, bracelet lanière pour téléphone portable avec longueur réglable (max. 18 cm en boucle), rose et blanc.;312;"('__export__.product_template_24151_5a593ec0',312);";"(312,'FORCELL F-DESIGN L8X36, bracelet lanière pour téléphone portable avec longueur réglable (max. 18 cm en boucle), rose et blanc.');"
__export__.product_template_24152_183279e7;FORCELL F-DESIGN R10X40 : bracelet lanière pour téléphone portable avec longueur réglable (max. 20 cm dans le cercle) vert, rose, violet.;313;"('__export__.product_template_24152_183279e7',313);";"(313,'FORCELL F-DESIGN R10X40 : bracelet lanière pour téléphone portable avec longueur réglable (max. 20 cm dans le cercle) vert, rose, violet.');"
__export__.product_template_24150_8638b93e;FORCELL F-DESIGN S10X165, lanière de téléphone en bandoulière avec longueur réglable (max. 82,5 cm en boucle) Black;314;"('__export__.product_template_24150_8638b93e',314);";"(314,'FORCELL F-DESIGN S10X165, lanière de téléphone en bandoulière avec longueur réglable (max. 82,5 cm en boucle) Black');"
__export__.product_template_19607_a23766e8;Forever wireless power bank WTB-100 PD QC 18W 10000 mAh with suction cups black;315;"('__export__.product_template_19607_a23766e8',315);";"(315,'Forever wireless power bank WTB-100 PD QC 18W 10000 mAh with suction cups black');"
__export__.product_template_22275_f0a35651;Google Nest Audio Chalk ;316;"('__export__.product_template_22275_f0a35651',316);";"(316,'Google Nest Audio Chalk ');"
__export__.product_template_22511_4695f22e;Google Nest Cam Indoor Wired White;317;"('__export__.product_template_22511_4695f22e',317);";"(317,'Google Nest Cam Indoor Wired White');"
__export__.product_template_23272_8a4ee1a4;Google Nest Cam Indoor Wired White (Day and Night);318;"('__export__.product_template_23272_8a4ee1a4',318);";"(318,'Google Nest Cam Indoor Wired White (Day and Night)');"
__export__.product_template_23273_407174f1;Google Nest Doorbell Battery White;319;"('__export__.product_template_23273_407174f1',319);";"(319,'Google Nest Doorbell Battery White');"
__export__.product_template_24660_5741dfd2;Google Nest Hub 2nd Generation Carbon ;320;"('__export__.product_template_24660_5741dfd2',320);";"(320,'Google Nest Hub 2nd Generation Carbon ');"
__export__.product_template_22512_5880aa0c;Google Nest Hub 2nd Generation Chalk;321;"('__export__.product_template_22512_5880aa0c',321);";"(321,'Google Nest Hub 2nd Generation Chalk');"
__export__.product_template_23274_176a8962;Google Nest Wifi Router+Pointr 2Pcs White;322;"('__export__.product_template_23274_176a8962',322);";"(322,'Google Nest Wifi Router+Pointr 2Pcs White');"
__export__.product_template_24648_779f0f94;Google Pixel 10 5G DS 12/128GB Frost;323;"('__export__.product_template_24648_779f0f94',323);";"(323,'Google Pixel 10 5G DS 12/128GB Frost');"
__export__.product_template_24649_a5c787c1;Google Pixel 10 5G DS 12/128GB Indigo;324;"('__export__.product_template_24649_a5c787c1',324);";"(324,'Google Pixel 10 5G DS 12/128GB Indigo');"
__export__.product_template_24826_380a932b;Google Pixel 10 5G DS 12/128GB Indigo ;325;"('__export__.product_template_24826_380a932b',325);";"(325,'Google Pixel 10 5G DS 12/128GB Indigo ');"
__export__.product_template_24650_4a514d09;Google Pixel 10 5G DS 12/128GB Lemongrass;326;"('__export__.product_template_24650_4a514d09',326);";"(326,'Google Pixel 10 5G DS 12/128GB Lemongrass');"
__export__.product_template_24651_49999402;Google Pixel 10 5G DS 12/128GB Obsidian;327;"('__export__.product_template_24651_49999402',327);";"(327,'Google Pixel 10 5G DS 12/128GB Obsidian');"
__export__.product_template_24828_1692e58e;Google Pixel 10 5G DS 12/128GB Obsidian ;328;"('__export__.product_template_24828_1692e58e',328);";"(328,'Google Pixel 10 5G DS 12/128GB Obsidian ');"
__export__.product_template_24652_77a23e63;Google Pixel 10 Pro XL 5G DS 16/256GB Jade;329;"('__export__.product_template_24652_77a23e63',329);";"(329,'Google Pixel 10 Pro XL 5G DS 16/256GB Jade');"
__export__.product_template_24653_42eb4f87;Google Pixel 10 Pro XL 5G DS 16/256GB Moonstone;330;"('__export__.product_template_24653_42eb4f87',330);";"(330,'Google Pixel 10 Pro XL 5G DS 16/256GB Moonstone');"
__export__.product_template_24654_b4dedab5;Google Pixel 10 Pro XL 5G DS 16/256GB Obsidian;331;"('__export__.product_template_24654_b4dedab5',331);";"(331,'Google Pixel 10 Pro XL 5G DS 16/256GB Obsidian');"
__export__.product_template_24655_99299774;Google Pixel 10 Pro XL 5G DS 16/256GB Porcelain;332;"('__export__.product_template_24655_99299774',332);";"(332,'Google Pixel 10 Pro XL 5G DS 16/256GB Porcelain');"
__export__.product_template_24829_e86d07b1;Google Pixel 10 Pro XL 5G DS 16/512GB Obsidian;333;"('__export__.product_template_24829_e86d07b1',333);";"(333,'Google Pixel 10 Pro XL 5G DS 16/512GB Obsidian');"
__export__.product_template_24830_0560e6e6;Google Pixel 7a 5G DS 8/128GB Charcoal;334;"('__export__.product_template_24830_0560e6e6',334);";"(334,'Google Pixel 7a 5G DS 8/128GB Charcoal');"
__export__.product_template_23531_00b137cc;Google Pixel 8 5G DS 8/128GB Mint;335;"('__export__.product_template_23531_00b137cc',335);";"(335,'Google Pixel 8 5G DS 8/128GB Mint');"
__export__.product_template_23275_d1f51150;Google Pixel 8 5G DS 8/128GB Obsidian Black;336;"('__export__.product_template_23275_d1f51150',336);";"(336,'Google Pixel 8 5G DS 8/128GB Obsidian Black');"
__export__.product_template_23276_30c84e6e;Google Pixel 8 5G DS 8/128GB Rose;337;"('__export__.product_template_23276_30c84e6e',337);";"(337,'Google Pixel 8 5G DS 8/128GB Rose');"
__export__.product_template_24656_03a0eb7e;Google Pixel 8 Pro 5G DS 12/128GB Obsidian Black;338;"('__export__.product_template_24656_03a0eb7e',338);";"(338,'Google Pixel 8 Pro 5G DS 12/128GB Obsidian Black');"
__export__.product_template_23532_d693c6db;Google Pixel 8a 5G DS 8/128GB Obsidian Black;339;"('__export__.product_template_23532_d693c6db',339);";"(339,'Google Pixel 8a 5G DS 8/128GB Obsidian Black');"
__export__.product_template_23533_14fe4f3b;Google Pixel 8a 5G DS 8/128GB Porcelaine;340;"('__export__.product_template_23533_14fe4f3b',340);";"(340,'Google Pixel 8a 5G DS 8/128GB Porcelaine');"
__export__.product_template_23534_d65f253c;Google Pixel 8a 5G DS 8/256GB Obsidian Black;341;"('__export__.product_template_23534_d65f253c',341);";"(341,'Google Pixel 8a 5G DS 8/256GB Obsidian Black');"
__export__.product_template_16026_0a826815;Google Pixel 9 5G DS 12/128GB Obsidian;342;"('__export__.product_template_16026_0a826815',342);";"(342,'Google Pixel 9 5G DS 12/128GB Obsidian');"
__export__.product_template_24222_5946c79f;Google Pixel 9 5G DS 12/128GB Peony;343;"('__export__.product_template_24222_5946c79f',343);";"(343,'Google Pixel 9 5G DS 12/128GB Peony');"
__export__.product_template_24223_f974d2e0;Google Pixel 9 5G DS 12/128GB Porcelain;344;"('__export__.product_template_24223_f974d2e0',344);";"(344,'Google Pixel 9 5G DS 12/128GB Porcelain');"
__export__.product_template_23785_94e97674;Google Pixel 9 5G DS 12/128GB Wintergreen;345;"('__export__.product_template_23785_94e97674',345);";"(345,'Google Pixel 9 5G DS 12/128GB Wintergreen');"
__export__.product_template_16062_844fa30e;Google Pixel 9 5G DS 12/256GB Obsidian;346;"('__export__.product_template_16062_844fa30e',346);";"(346,'Google Pixel 9 5G DS 12/256GB Obsidian');"
__export__.product_template_24224_8a8d1e66;Google Pixel 9 5G DS 12/256GB Peony;347;"('__export__.product_template_24224_8a8d1e66',347);";"(347,'Google Pixel 9 5G DS 12/256GB Peony');"
__export__.product_template_23950_87e8bc1c;Google Pixel 9 5G DS 12/256GB Porcelain;348;"('__export__.product_template_23950_87e8bc1c',348);";"(348,'Google Pixel 9 5G DS 12/256GB Porcelain');"
__export__.product_template_23951_ce164f8b;Google Pixel 9 5G DS 12/256GB Wintergreen;349;"('__export__.product_template_23951_ce164f8b',349);";"(349,'Google Pixel 9 5G DS 12/256GB Wintergreen');"
__export__.product_template_23952_11c2af37;Google Pixel 9 Pro 5G DS 16/128GB Obsidian;350;"('__export__.product_template_23952_11c2af37',350);";"(350,'Google Pixel 9 Pro 5G DS 16/128GB Obsidian');"
__export__.product_template_24657_7a0b541e;Google Pixel 9 Pro 5G DS 16/128GB Porcelain;351;"('__export__.product_template_24657_7a0b541e',351);";"(351,'Google Pixel 9 Pro 5G DS 16/128GB Porcelain');"
__export__.product_template_24831_a0d0c6fd;Google Pixel 9 Pro 5G DS 16/128GB Rose;352;"('__export__.product_template_24831_a0d0c6fd',352);";"(352,'Google Pixel 9 Pro 5G DS 16/128GB Rose');"
__export__.product_template_23786_2bd8194c;Google Pixel 9 Pro 5G DS 16/256GB Hazel;353;"('__export__.product_template_23786_2bd8194c',353);";"(353,'Google Pixel 9 Pro 5G DS 16/256GB Hazel');"
__export__.product_template_23787_139decc0;Google Pixel 9 Pro 5G DS 16/256GB Obsidian;354;"('__export__.product_template_23787_139decc0',354);";"(354,'Google Pixel 9 Pro 5G DS 16/256GB Obsidian');"
__export__.product_template_23788_b2f8595e;Google Pixel 9 Pro 5G DS 16/256GB Porcelain;355;"('__export__.product_template_23788_b2f8595e',355);";"(355,'Google Pixel 9 Pro 5G DS 16/256GB Porcelain');"
__export__.product_template_24658_c58fde53;Google Pixel 9 Pro XL 5G DS 16/128GB Hazel;356;"('__export__.product_template_24658_c58fde53',356);";"(356,'Google Pixel 9 Pro XL 5G DS 16/128GB Hazel');"
__export__.product_template_24053_3648bfc1;Google Pixel 9 Pro XL 5G DS 16/128GB Obsidian;357;"('__export__.product_template_24053_3648bfc1',357);";"(357,'Google Pixel 9 Pro XL 5G DS 16/128GB Obsidian');"
__export__.product_template_24054_a2715155;Google Pixel 9 Pro XL 5G DS 16/128GB Porcelain;358;"('__export__.product_template_24054_a2715155',358);";"(358,'Google Pixel 9 Pro XL 5G DS 16/128GB Porcelain');"
__export__.product_template_24659_e485abd6;Google Pixel 9 Pro XL 5G DS 16/1TB Obsidian;359;"('__export__.product_template_24659_e485abd6',359);";"(359,'Google Pixel 9 Pro XL 5G DS 16/1TB Obsidian');"
__export__.product_template_24055_e77a8f6a;Google Pixel 9 Pro XL 5G DS 16/256GB Hazel;360;"('__export__.product_template_24055_e77a8f6a',360);";"(360,'Google Pixel 9 Pro XL 5G DS 16/256GB Hazel');"
__export__.product_template_24056_2c905dda;Google Pixel 9 Pro XL 5G DS 16/256GB Obsidian;361;"('__export__.product_template_24056_2c905dda',361);";"(361,'Google Pixel 9 Pro XL 5G DS 16/256GB Obsidian');"
__export__.product_template_23326_4a5367e3;Google Pixel 9 Pro XL 5G DS 16/256GB Porcelain;362;"('__export__.product_template_23326_4a5367e3',362);";"(362,'Google Pixel 9 Pro XL 5G DS 16/256GB Porcelain');"
__export__.product_template_23327_8acea858;Google Pixel 9 Pro XL 5G DS 16/256GB Rose;363;"('__export__.product_template_23327_8acea858',363);";"(363,'Google Pixel 9 Pro XL 5G DS 16/256GB Rose');"
__export__.product_template_22818_1fb0d971;Google Pixel 9a 5G DS 8/128GB Iris;364;"('__export__.product_template_22818_1fb0d971',364);";"(364,'Google Pixel 9a 5G DS 8/128GB Iris');"
__export__.product_template_22685_a8bf4edf;Google Pixel 9a 5G DS 8/128GB Obsidian;365;"('__export__.product_template_22685_a8bf4edf',365);";"(365,'Google Pixel 9a 5G DS 8/128GB Obsidian');"
__export__.product_template_23953_0335c9e4;Google Pixel 9a 5G DS 8/128GB Peony;366;"('__export__.product_template_23953_0335c9e4',366);";"(366,'Google Pixel 9a 5G DS 8/128GB Peony');"
__export__.product_template_22687_bbc29e43;Google Pixel 9a 5G DS 8/128GB Porcelain;367;"('__export__.product_template_22687_bbc29e43',367);";"(367,'Google Pixel 9a 5G DS 8/128GB Porcelain');"
__export__.product_template_23328_f6e533a9;Google Pixel 9a 5G DS 8/256GB Iris;368;"('__export__.product_template_23328_f6e533a9',368);";"(368,'Google Pixel 9a 5G DS 8/256GB Iris');"
__export__.product_template_22688_79e59067;Google Pixel 9a 5G DS 8/256GB Obsidian;369;"('__export__.product_template_22688_79e59067',369);";"(369,'Google Pixel 9a 5G DS 8/256GB Obsidian');"
__export__.product_template_23789_0c918d61;Google Pixel Buds Pro Charcoal;370;"('__export__.product_template_23789_0c918d61',370);";"(370,'Google Pixel Buds Pro Charcoal');"
__export__.product_template_23790_d9eccc33;Google Pixel Buds Pro Porcelain;371;"('__export__.product_template_23790_d9eccc33',371);";"(371,'Google Pixel Buds Pro Porcelain');"
__export__.product_template_22286_110850f1;Google Pixel Fold 5G DS 12/256GB Black;372;"('__export__.product_template_22286_110850f1',372);";"(372,'Google Pixel Fold 5G DS 12/256GB Black');"
__export__.product_template_23955_b1d50e63;Google Pixel Watch 2 41mm BT Obsidian Black;373;"('__export__.product_template_23955_b1d50e63',373);";"(373,'Google Pixel Watch 2 41mm BT Obsidian Black');"
__export__.product_template_23277_2021bef4;Google Pixel Watch 3 41mm BT Obsidian Black;374;"('__export__.product_template_23277_2021bef4',374);";"(374,'Google Pixel Watch 3 41mm BT Obsidian Black');"
__export__.product_template_23278_26564503;Google Pixel Watch 3 41mm BT Porcelain;375;"('__export__.product_template_23278_26564503',375);";"(375,'Google Pixel Watch 3 41mm BT Porcelain');"
__export__.product_template_24302_a3a0843d;Google Pixel Watch 3 41mm LTE Chmpagne Gold;376;"('__export__.product_template_24302_a3a0843d',376);";"(376,'Google Pixel Watch 3 41mm LTE Chmpagne Gold');"
__export__.product_template_24135_73a3275d;Google Pixel Watch 41mm Charcoal;377;"('__export__.product_template_24135_73a3275d',377);";"(377,'Google Pixel Watch 41mm Charcoal');"
__export__.product_template_23954_e307e20d;Google Pixel Watch 41mm Obsidian Black;378;"('__export__.product_template_23954_e307e20d',378);";"(378,'Google Pixel Watch 41mm Obsidian Black');"
__export__.product_template_15792_af354c5e;Honor 200 5G DS 12/512GB Black;379;"('__export__.product_template_15792_af354c5e',379);";"(379,'Honor 200 5G DS 12/512GB Black');"
__export__.product_template_23329_fd8e7d35;Honor 200 5G DS 12/512GB Emerald Green;380;"('__export__.product_template_23329_fd8e7d35',380);";"(380,'Honor 200 5G DS 12/512GB Emerald Green');"
__export__.product_template_24136_6daca55f;Honor 200 5G DS 8/256GB Black;381;"('__export__.product_template_24136_6daca55f',381);";"(381,'Honor 200 5G DS 8/256GB Black');"
__export__.product_template_23956_bf39e71a;Honor 200 Lite 5G DS 8/256GB Cyan Lake;382;"('__export__.product_template_23956_bf39e71a',382);";"(382,'Honor 200 Lite 5G DS 8/256GB Cyan Lake');"
__export__.product_template_23543_3a6ad12a;Honor 200 Lite 5G DS 8/256GB Midnight Black;383;"('__export__.product_template_23543_3a6ad12a',383);";"(383,'Honor 200 Lite 5G DS 8/256GB Midnight Black');"
__export__.product_template_23544_fd5f422e;Honor 200 Pro 5G DS 12/512GB Black;384;"('__export__.product_template_23544_fd5f422e',384);";"(384,'Honor 200 Pro 5G DS 12/512GB Black');"
__export__.product_template_24736_829e6a40;Honor 200 Smart 5G DS 8/256GB Black;385;"('__export__.product_template_24736_829e6a40',385);";"(385,'Honor 200 Smart 5G DS 8/256GB Black');"
__export__.product_template_24832_e02da17d;Honor 400 5G DS 8/256GB Desert Gold;386;"('__export__.product_template_24832_e02da17d',386);";"(386,'Honor 400 5G DS 8/256GB Desert Gold');"
__export__.product_template_24661_69bea67e;Honor 400 5G DS 8/256GB Midnight Black;387;"('__export__.product_template_24661_69bea67e',387);";"(387,'Honor 400 5G DS 8/256GB Midnight Black');"
__export__.product_template_23330_a6ce1946;Honor 400 5G DS 8/512GB Desert Gold;388;"('__export__.product_template_23330_a6ce1946',388);";"(388,'Honor 400 5G DS 8/512GB Desert Gold');"
__export__.product_template_23331_d028e742;Honor 400 5G DS 8/512GB Midnight Black;389;"('__export__.product_template_23331_d028e742',389);";"(389,'Honor 400 5G DS 8/512GB Midnight Black');"
__export__.product_template_23957_f73c1540;Honor 400 Lite 5G DS 8/256GB Black;390;"('__export__.product_template_23957_f73c1540',390);";"(390,'Honor 400 Lite 5G DS 8/256GB Black');"
__export__.product_template_23958_e47b19a1;Honor 400 Lite 5G DS 8/256GB Green;391;"('__export__.product_template_23958_e47b19a1',391);";"(391,'Honor 400 Lite 5G DS 8/256GB Green');"
__export__.product_template_23959_8f27afd1;Honor 400 Lite 5G DS 8/256GB Grey;392;"('__export__.product_template_23959_8f27afd1',392);";"(392,'Honor 400 Lite 5G DS 8/256GB Grey');"
__export__.product_template_24225_a1e691d8;Honor 400 Pro 5G DS 12/512GB Black;393;"('__export__.product_template_24225_a1e691d8',393);";"(393,'Honor 400 Pro 5G DS 12/512GB Black');"
__export__.product_template_24662_3d34e705;Honor 400 Pro 5G DS 12/512GB Blue;394;"('__export__.product_template_24662_3d34e705',394);";"(394,'Honor 400 Pro 5G DS 12/512GB Blue');"
__export__.product_template_24226_bdb261f4;Honor 400 Pro 5G DS 12/512GB Grey;395;"('__export__.product_template_24226_bdb261f4',395);";"(395,'Honor 400 Pro 5G DS 12/512GB Grey');"
__export__.product_template_22288_ea77702c;Honor 70 5G DS 8/128GB Midnight Black;396;"('__export__.product_template_22288_ea77702c',396);";"(396,'Honor 70 5G DS 8/128GB Midnight Black');"
__export__.product_template_23960_12d11b96;Honor Magic Earbuds White;397;"('__export__.product_template_23960_12d11b96',397);";"(397,'Honor Magic Earbuds White');"
__export__.product_template_22401_1e9aea99;Honor Magic V3 5G DS 12/512GB Black;398;"('__export__.product_template_22401_1e9aea99',398);";"(398,'Honor Magic V3 5G DS 12/512GB Black');"
__export__.product_template_22289_ece7c3db;Honor Magic V3 5G DS 12/512GB Brown;399;"('__export__.product_template_22289_ece7c3db',399);";"(399,'Honor Magic V3 5G DS 12/512GB Brown');"
__export__.product_template_16263_679443fd;Honor Magic V3 5G DS 12/512GB Green;400;"('__export__.product_template_16263_679443fd',400);";"(400,'Honor Magic V3 5G DS 12/512GB Green');"
__export__.product_template_24303_8f79ec8a;Honor Magic V5 5G DS 16/512GB Black;401;"('__export__.product_template_24303_8f79ec8a',401);";"(401,'Honor Magic V5 5G DS 16/512GB Black');"
__export__.product_template_24304_d5147b6f;Honor Magic V5 5G DS 16/512GB Brown;402;"('__export__.product_template_24304_d5147b6f',402);";"(402,'Honor Magic V5 5G DS 16/512GB Brown');"
__export__.product_template_24305_e1b73af0;Honor Magic V5 5G DS 16/512GB Gold;403;"('__export__.product_template_24305_e1b73af0',403);";"(403,'Honor Magic V5 5G DS 16/512GB Gold');"
__export__.product_template_24663_4c008eed;Honor Magic V5 5G DS 16/512GB White;404;"('__export__.product_template_24663_4c008eed',404);";"(404,'Honor Magic V5 5G DS 16/512GB White');"
__export__.product_template_22291_69908ff6;Honor Magic6 Lite 5G DS 8/256GB Black;405;"('__export__.product_template_22291_69908ff6',405);";"(405,'Honor Magic6 Lite 5G DS 8/256GB Black');"
__export__.product_template_19559_504252f4;Honor Magic6 Lite 5G DS 8/256GB Green;406;"('__export__.product_template_19559_504252f4',406);";"(406,'Honor Magic6 Lite 5G DS 8/256GB Green');"
__export__.product_template_24833_a9dc22ef;Honor Magic6 Pro 5G DS 12/512GB Black;407;"('__export__.product_template_24833_a9dc22ef',407);";"(407,'Honor Magic6 Pro 5G DS 12/512GB Black');"
__export__.product_template_22515_3aa60e9c;Honor Magic7 Lite 5G DS 8/256GB Titanium Black;408;"('__export__.product_template_22515_3aa60e9c',408);";"(408,'Honor Magic7 Lite 5G DS 8/256GB Titanium Black');"
__export__.product_template_22516_c4359604;Honor Magic7 Lite 5G DS 8/256GB Titanium Purple;409;"('__export__.product_template_22516_c4359604',409);";"(409,'Honor Magic7 Lite 5G DS 8/256GB Titanium Purple');"
